date,stage,team_a,team_b,actual_score,pred_score,xg_a,xg_b,p_a,p_draw,p_b,pred_90,actual_90,hit_90,exact_hit,rps,brier,logloss,abs_err_a,abs_err_b,p_advance_a,pred_winner,actual_winner,advance_hit,advance_brier,advance_logloss
2026-07-06,ko,Portugal,Spain,0-1,1-1,0.879,1.6329,0.1866,0.2769,0.5365,A,A,1,0.0,0.1248,0.3263,0.6227,0.879,0.6329,0.2935,Spain,Spain,1.0,0.0861,0.3474
2026-07-06,ko,United States,Belgium,1-4,1-1,1.0176,1.6714,0.2152,0.273,0.5118,A,A,1,0.0,0.1423,0.3592,0.6699,0.0176,2.3286,0.326,Belgium,Belgium,1.0,0.1063,0.3946
2026-07-07,ko,Argentina,Egypt,3-2,1-0,1.4248,0.4032,0.6175,0.2912,0.0913,H,H,1,0.0,0.0773,0.2395,0.4821,1.5752,1.5968,0.819,Argentina,Argentina,1.0,0.0328,0.1997
2026-07-07,ko,Switzerland,Colombia,0-0 aet (pens 4-3),1-1,1.0286,1.4065,0.2589,0.3012,0.4399,A,D,0,,0.1303,0.7489,1.2001,1.3715,1.8753,0.3913,Colombia,Switzerland,0.0,0.3705,0.9382
2026-07-09,ko,France,Morocco,2-0,0-0,0.8639,0.8583,0.3154,0.3723,0.3123,D,H,0,0.0,0.2831,0.7048,1.1539,1.1361,0.8583,0.5109,France,France,1.0,0.2393,0.6717
2026-07-10,ko,Spain,Belgium,2-1,2-0,1.9224,0.7821,0.6297,0.2384,0.1319,H,H,1,0.0,0.0773,0.2114,0.4626,0.0776,0.2179,0.7885,Spain,Spain,1.0,0.0447,0.2376
2026-07-11,ko,Norway,England,1-2 aet,1-1,1.0098,1.1653,0.2973,0.3269,0.3759,A,D,0,,0.1148,0.6827,1.1181,0.3464,0.4462,0.4485,England,England,1.0,0.2012,0.5951
2026-07-11,ko,Argentina,Switzerland,3-1 aet,1-0,1.4346,0.6751,0.5388,0.301,0.1602,H,D,0,,0.158,0.8046,1.2008,1.0872,0.0999,0.7285,Argentina,Argentina,1.0,0.0737,0.3168
2026-07-14,ko,France,Spain,0-2,1-1,0.9044,1.4621,0.217,0.2977,0.4854,A,A,1,0.0,0.156,0.4005,0.7228,0.9044,0.5379,0.3417,Spain,Spain,1.0,0.1168,0.4181
2026-07-15,ko,England,Argentina,1-2,0-0,0.7,0.9513,0.2414,0.3756,0.383,A,A,1,0.0,0.2195,0.5801,0.9598,0.3,1.0487,0.41,Argentina,Argentina,1.0,0.1681,0.5276
2026-07-18,ko,France,England,4-6,0-0,0.9215,1.0375,0.296,0.3467,0.3573,A,A,1,0.0,0.2504,0.6209,1.0292,3.0785,4.9625,0.4665,England,England,1.0,0.2176,0.6282
2026-07-19,ko,Spain,Argentina,1-0 aet,0-0,0.9865,0.9337,0.3385,0.3512,0.3104,D,D,1,,0.1054,0.6319,1.0465,0.3153,1.2449,0.5181,Spain,Spain,1.0,0.2323,0.6576
